KD,#1 Ally,Top 300 Power,Top 300 Merits,M/P,Top 300 Kills,Top 300 Deads,Top 300 Heals,CH25,CH25 AP,60-80M,80-100M,100-125M,125-150M,150-200M,200M+,#1 Ally,Total KD Power,CH16,Lords,CH16 AP,Lords AP,CH16 KvK,CH25 KvK,Allies,Ally Lords,Unique Alliances in KD,1B+ Power,1B+ Ally Tags,Top 600 Power,Top 600 Merits,Top 600 Kills,Top 600 Heals,Top 600 Deads,10-20M,20-40M,40-60M,40-60M
60,ECHO,30354394062,3338168336,11.00%,134344877223,507673439,87331531365,244,126502965,0,6,48,48,56,32,"29,657,933,593","35,145,828,260","1,060","1,169","33,135,271","30,064,866",2,1,24,"1,033","ECHO,ECH1","30,885,204,606","ECHO,ECH1","30,354,394,062","3,338,168,336","134,344,877,223","87,331,531,365","507,673,439",188,2,1,0
61,S3AK,3950931524,85971350,2.18%,8254174032,34505224,8124377246,50,75744075,6,14,11,1,1,0,"2,220,816,273","4,126,496,221",83,96,"49,635,482","42,984,336",0,0,11,62,S3AK,"2,220,816,273",S3AK,"3,950,931,524","85,971,350","8,254,174,032","8,124,377,246","34,505,224",10,13,6,4
62,-FG-,21303420255,2065276275,9.69%,47503250213,248055894,60438472116,262,80964496,90,80,48,2,1,1,"11,975,779,715","23,464,940,094",604,647,"38,814,969","36,267,295",0,0,14,583,"-FG-,KIM,Move,=FA=","21,809,100,016","-FG-,KIM,Move,=FA=","21,303,420,255","2,065,276,275","47,503,250,213","60,438,472,116","248,055,894",89,10,26,0
63,EBB,2545989205,11642044,0.46%,1336310434,11340401,2547392477,51,43135674,6,3,1,0,0,0,"1,845,695,117","3,102,167,459",226,248,"13,694,845","12,508,740",113,30,11,221,EBB,"1,845,695,117",EBB,"2,545,989,205","11,642,044","1,336,310,434","2,547,392,477","11,340,401",19,38,11,38
64,BoM~,12354868913,695336522,5.63%,20087183244,121736285,25722959452,166,72653030,52,43,17,3,1,0,"9,957,359,838","13,193,309,600",303,322,"43,501,784","40,973,011",0,0,6,277,"BoM~,NoM","12,170,741,179","BoM~,NoM","12,354,868,913","695,336,522","20,087,183,244","25,722,959,452","121,736,285",45,19,34,0
65,,1127262375,393888,0.03%,217126780,4243338,766423806,25,41701345,2,0,0,0,0,0,,"1,453,429,581",85,96,"17,008,343","15,139,891",0,0,8,69,,,,"1,127,262,375","393,888","217,126,780","766,423,806","4,243,338",14,12,12,70
66,AncS,2644030701,82361582,3.12%,5860921033,19444415,5034128022,31,80648102,1,8,9,0,2,0,"2,093,022,894","2,857,461,631",71,84,"40,156,035","34,017,400",0,0,5,49,AncS,"2,093,022,894",AncS,"2,644,030,701","82,361,582","5,860,921,033","5,034,128,022","19,444,415",11,8,4,60
67,AxC-,16421830624,1221862676,7.44%,24888492540,226088755,36117788869,223,73047291,84,57,21,3,1,0,"13,956,648,354","17,222,727,970",364,400,"47,270,356","43,056,820",0,0,10,350,"AxC-,AxW-","15,240,677,525","AxC-,AxW-","16,421,830,624","1,221,862,676","24,888,492,540","36,117,788,869","226,088,755",34,26,33,0
68,-GG-,21390308425,2593912478,12.13%,69181011489,296434079,59104101657,198,108053229,5,46,99,27,5,4,"19,630,435,097","23,456,690,396",576,638,"40,670,624","36,765,972",7,2,9,550,-GG-,"19,630,435,097",-GG-,"21,390,308,425","2,593,912,478","69,181,011,489","59,104,101,657","296,434,079",80,4,2,1
69,~Px~,7873034854,564697222,7.17%,13642782957,93374300,17188747409,114,67363077,32,25,10,3,0,0,"6,975,410,870","8,550,200,490",233,266,"36,629,200","32,143,611",0,0,5,223,~Px~,"6,975,410,870",~Px~,"7,873,034,854","564,697,222","13,642,782,957","17,188,747,409","93,374,300",34,20,24,0
70,MBxS,2843292446,1515912,0.05%,3928160529,28887943,4287265249,41,65829440,7,8,6,0,1,0,"1,711,073,109","2,989,907,801",81,87,"36,890,093","34,366,756",23,16,6,55,MBxS,"1,711,073,109",MBxS,"2,843,292,446","1,515,912","3,928,160,529","4,287,265,249","28,887,943",13,11,6,13
71,BBO,3548175770,56934046,1.60%,2471544165,42086166,4231670958,72,46245597,9,4,0,0,0,0,"2,922,101,236","3,724,369,756",111,125,"33,476,640","29,794,958",0,0,3,92,BBO,"2,922,101,236",BBO,"3,548,175,770","56,934,046","2,471,544,165","4,231,670,958","42,086,166",15,29,33,57
72,TP72,5483015972,98486884,1.80%,2959227689,42632318,5687862826,96,49721513,17,8,1,0,0,0,"4,896,893,741","5,861,131,254",184,201,"31,799,730","29,159,857",0,0,7,163,TP72,"4,896,893,741",TP72,"5,483,015,972","98,486,884","2,959,227,689","5,687,862,826","42,632,318",40,44,35,0
73,SR7,8373471738,879408941,10.50%,19697552007,89062414,19305106433,100,82937791,27,26,22,7,0,0,"7,233,278,619","8,905,346,146",216,225,"41,208,752","39,579,316",0,0,5,188,SR7,"7,233,278,619",SR7,"8,373,471,738","879,408,941","19,697,552,007","19,305,106,433","89,062,414",23,5,10,0
74,H0RD,4714863853,261203897,5.54%,5517242191,44398769,7087451571,84,48891627,15,5,2,0,0,0,"3,857,649,276","5,227,257,290",197,210,"26,485,762","24,891,701",0,0,7,180,H0RD,"3,857,649,276",H0RD,"4,714,863,853","261,203,897","5,517,242,191","7,087,451,571","44,398,769",27,40,33,0
75,RoD!,10865827028,677698276,6.24%,34713765484,146272629,26304752363,120,88428253,20,34,29,14,1,0,"4,002,786,292","11,910,416,749",395,423,"30,121,204","28,157,014",0,0,12,339,"RoD!,75C!,75A!,75B!","10,617,531,377","RoD!,75C!,75A!,75B!","10,865,827,028","677,698,276","34,713,765,484","26,304,752,363","146,272,629",43,12,12,0
76,ICE!,6282694037,362967588,5.78%,8339847662,71112326,12631160676,93,65286571,34,16,4,1,0,0,"5,246,734,836","6,592,184,850",156,167,"42,220,700","39,474,161",116,86,9,147,ICE!,"5,246,734,836",ICE!,"6,282,694,037","362,967,588","8,339,847,662","12,631,160,676","71,112,326",18,18,24,3
77,MFD,20623415995,2397723756,11.63%,71603304357,313638188,55268124587,223,92019858,40,56,62,16,12,2,"18,432,503,188","23,217,810,352",803,830,"28,895,874","27,973,265",0,0,15,783,"MFD,MFD1","19,502,972,584","MFD,MFD1","20,623,415,995","2,397,723,756","71,603,304,357","55,268,124,587","313,638,188",114,19,14,0
78,RMEN,8011249382,532679148,6.65%,10647956235,86810158,15872025181,115,68584500,36,33,5,0,0,0,"5,781,964,777","8,539,393,810",198,217,"43,077,340","39,352,045",0,0,8,192,"RMEN,RVEN","6,782,234,794","RMEN,RVEN","8,011,249,382","532,679,148","10,647,956,235","15,872,025,181","86,810,158",25,14,28,0
79,R0C,6696035994,289747703,4.33%,5950597082,72717891,11674994526,110,58263485,40,13,1,0,0,0,"4,973,353,115","7,168,284,657",211,225,"33,947,551","31,859,043",0,0,11,177,R0C,"4,973,353,115",R0C,"6,696,035,994","289,747,703","5,950,597,082","11,674,994,526","72,717,891",16,33,32,6
